Sample_Identity	Alignment_File
TL2209397-ENUref-Female	../data/Alignment_File/TL2209397-ENUref-Female-6-_merged.markdups.bam
TL2209398-ENUref-Male	../data/Alignment_File/TL2209398-ENUref-Male-6-MA_merged.markdups.bam
TL2209399-TUref-Female	../data/Alignment_File/TL2209399-TUref-Female-4-M_merged.markdups.bam
TL2209400-TUref-Male	../data/Alignment_File/TL2209400-TUref-Male-4-MAN_merged.markdups.bam
TL2211776-1-5	../data/Alignment_File/TL2211776-1-5-MAN-20220915_merged.markdups.bam
TL2211777-9-4	../data/Alignment_File/TL2211777-9-4-MAN-20220915_merged.markdups.bam
TL2211778-11-1	../data/Alignment_File/TL2211778-11-1-MAN-2022091_merged.markdups.bam
TL2211779-12-2	../data/Alignment_File/TL2211779-12-2-MAN-2022091_merged.markdups.bam
TL2211780-15-1	../data/Alignment_File/TL2211780-15-1-MAN-2022091_merged.markdups.bam
TL2211781-15-3	../data/Alignment_File/TL2211781-15-3-MAN-2022091_merged.markdups.bam
TL2211785-19-1	../data/Alignment_File/TL2211785-19-1-MAN-2022091_merged.markdups.bam
TL2211786-19-4	../data/Alignment_File/TL2211786-19-4-MAN-2022091_merged.markdups.bam
TL2211787-20-2	../data/Alignment_File/TL2211787-20-2-MAN-2022091_merged.markdups.bam
TL2211790-24-A	../data/Alignment_File/TL2211790-24-A-MAN-2022091_merged.markdups.bam
TL2211791-24-6	../data/Alignment_File/TL2211791-24-6-MAN-2022091_merged.markdups.bam
TL2211793-42-1	../data/Alignment_File/TL2211793-42-1-MAN-2022091_merged.markdups.bam
TL2211794-53-2	../data/Alignment_File/TL2211794-53-2-MAN-2022091_merged.markdups.bam
TL2211795-74-3	../data/Alignment_File/TL2211795-74-3-MAN-2022091_merged.markdups.bam
TL2211796-75-4	../data/Alignment_File/TL2211796-75-4-MAN-2022091_merged.markdups.bam
TL2211797-85-1	../data/Alignment_File/TL2211797-85-1-MAN-2022091_merged.markdups.bam
TL2211798-95-2	../data/Alignment_File/TL2211798-95-2-MAN-2022091_merged.markdups.bam
TL2211801-153-5	../data/Alignment_File/TL2211801-153-5-MAN-202209_merged.markdups.bam
TL2211802-175-1	../data/Alignment_File/TL2211802-175-1-MAN-202209_merged.markdups.bam
TL2211803-NTC-3	../data/Alignment_File/TL2211803-NTC-3-MAN-202209_merged.markdups.bam
TL2212475-15-5a	../data/Alignment_File/TL2212475-15-5a-MAN-202210_merged.markdups.bam
TL2212476-15-5b	../data/Alignment_File/TL2212476-15-5b-MAN-202210_merged.markdups.bam
TL2212477-18-2	../data/Alignment_File/TL2212477-18-2-MAN-2022100_merged.markdups.bam
TL2212478-22-1	../data/Alignment_File/TL2212478-22-1-MAN-2022100_merged.markdups.bam
TL2212479-22-2	../data/Alignment_File/TL2212479-22-2-MAN-2022100_merged.markdups.bam
TL2212480-32-1	../data/Alignment_File/TL2212480-32-1-MAN-2022100_merged.markdups.bam
TL2212481-137-1	../data/Alignment_File/TL2212481-137-1-MAN-202210_merged.markdups.bam
TL2212482-147-4	../data/Alignment_File/TL2212482-147-4-MAN-202210_merged.markdups.bam
TL2212483-NTC-MAN	../data/Alignment_File/TL2212483-NTC-MAN-20221007_merged.markdups.bam
TL2312061-15-1	../data/Alignment_File/TL2312061-15-1-MAN-2023111_merged.markdups.bam
TL2312062-15-3	../data/Alignment_File/TL2312062-15-3-MAN-2023111_merged.markdups.bam
TL2312063-018-2	../data/Alignment_File/TL2312063-018-2-4-MAN-2023_merged.markdups.bam
TL2312065-024-6	../data/Alignment_File/TL2312065-024-6-MAN-202311_merged.markdups.bam
TL2312066-38-A	../data/Alignment_File/TL2312066-38-A-MAN-2023111_merged.markdups.bam
TL2312067-49-2	../data/Alignment_File/TL2312067-49-2-A-MAN-20231_merged.markdups.bam
TL2312068-49-2	../data/Alignment_File/TL2312068-49-2-C-MAN-20231_merged.markdups.bam
TL2312069-53-2	../data/Alignment_File/TL2312069-53-2-MAN-2023111_merged.markdups.bam
TL2312070-74-3	../data/Alignment_File/TL2312070-74-3-MAN-2023111_merged.markdups.bam
TL2312071-122-3	../data/Alignment_File/TL2312071-122-3-I-MAN-2023_merged.markdups.bam
TL2312072-161-2	../data/Alignment_File/TL2312072-161-2-MAN-202311_merged.markdups.bam
TL2312073-163-4L	../data/Alignment_File/TL2312073-163-4L-MAN-20231_merged.markdups.bam
TL2312074-175-1	../data/Alignment_File/TL2312074-175-1-MAN-202311_merged.markdups.bam
TL2312075-245-2A	../data/Alignment_File/TL2312075-245-2A-MAN-20231_merged.markdups.bam
TL2312076-373-I	../data/Alignment_File/TL2312076-373-I-MAN-202311_merged.markdups.bam
